"COUNTRY_OR_AREA","COMMODITY_TRANSACTION","YEAR","UNIT","QUANTITY_FOOTNOTES","QUANTITY"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","2"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","2"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","2"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","2"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","2"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","1","3"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","2"
"Cayman Islands","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","3"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","1","1"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","0"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","0"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","0"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","0"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","0"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","0"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","0"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","0"
"Chad","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","0"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","806"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","785"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","778"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","771"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","741"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","767"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","731"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","713"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","758"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","668"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","722"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","812"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","802"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","760"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","710"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","703"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","679"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","625"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","580"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","554"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","524"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","474"
"Chile","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","441"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","16353.7998046875"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","16071.5"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","14570"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","14957"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","14570"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","16379"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","14562"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","13287"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","13505"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","11127"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","11691"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","10060"
"China","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","9883"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","8785"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","7692"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","7422"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","7035"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","5340"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","3850"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","2990"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","2365"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","2024"
"China","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","1585"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","218"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1","209"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","1","211.703002929688"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","1","228.748992919922"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","1","228.521606445312"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","1","224"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","1","220"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","1","207"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","1","187"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","1","183"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","1","167"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","128"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","83"
"China, Hong Kong SAR","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","60"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","15"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1","14.8999996185303"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","14"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","15"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","16"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","15"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","16"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","17"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","16"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","15"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","13"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","12"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","12"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","13"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","13"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","11"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","13"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","12"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","10"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","9"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","8"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","7"
"China, Macao SAR","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","7"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","495"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","564"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","508"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","509"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","534"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","540"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","537.094970703125"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","535.55078125"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","534"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","572"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","606"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","648"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","643"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","609"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","1","410"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","1","607"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","1","579"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","1","527"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","505"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","429"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","380"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","399"
"Colombia","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","384"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","11"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","11"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","11"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","11"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","9"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","8"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","7"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","5"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","5"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","4"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","2"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","3"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","1"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","2"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","2"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","3"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","1","3"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","1","3"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","1","3"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","1","3"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","1","3"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","1","3"
"Congo","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","1","3"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","7"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","7"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","6"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","7"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","5"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","7"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","9"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","9"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","8"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","5"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","2"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","1"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","1"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","1"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","1"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","1"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","0"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","0"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","0"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","0"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","0"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","1.3400000333786"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1","0.0500000007450581"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","1","2"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","1","4.59999990463257"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","4"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","5"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","14"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","1","13"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","1","12"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","1","12"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","1","12"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","1","10"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","1","10"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","1","10"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","1","10"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","1","10"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","1","10"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","1","10"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","1","10"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","1","7"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","1","11"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","1","12"
"Bermuda","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","1","4"
"Bhutan","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","7.5"
"Bhutan","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","7.40000009536743"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","3.32999992370605"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","3.47000002861023"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","3.36999988555908"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","3.33999991416931"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","3.34999990463257"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","3.35999989509583"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","3.35999989509583"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","3.32999992370605"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","3.32999992370605"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","3.26999998092651"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","3.33999991416931"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","3.26999998092651"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","19"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","19"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","12"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","17"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","17"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","18"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","17"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","16"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","20"
"Brunei Darussalam","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","26"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","22"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","24"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","19"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","22"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","20"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","22"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","21"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","20"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","20"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","20"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","15"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","13"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","11"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","12"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","7"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","7"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","57"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","61"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","56"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","41"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","24"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","26"
"Bulgaria","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","49"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","46.2039985656738"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1","36.6500015258789"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","1","25.1000003814697"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","24.4130992889404"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","23.0301990509033"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","19.4384002685547"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","16.5767002105713"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","12.8509998321533"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","12.0410003662109"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","10.0431995391846"
"Burkina Faso","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","8.63930034637451"
