"Country_or_Area","Commodity_Transaction","Year","Unit","Quantity","Quantity_Footnotes"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","5.4","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","5","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","4.7","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","4.5","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","4","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","3.6","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","4.2","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","3.7","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","3.9","1"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","4.4","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","3.3","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","3.2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","3","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","3.3","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","3.1","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","3","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","3","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","2","1"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","2","1"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","803",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","704",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","1168",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","1063",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","1085",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","825",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","1448",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","866",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","898",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","795",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","623",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","961",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","1010",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","939",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","913",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","805",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","804",
